Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
6441;95;;RUE;JEAN GOUJON;104,83;Maison;5;33449
6442;105;;RUE;JEAN GOUJON;106,8;Maison;5;33449
6443;33;;RUE;JEAN GOUJON;117,87;Maison;5;33449
6444;105;;AV;MONTESQUIEU;72,96;Maison;3;33449
6445;9002;;CHE;DE MAURIET;71,1;Appartement;3;33449
6446;33;;AV;DE MAZEAU;60,99;Appartement;3;33449
6447;9001;;RES;ROSIERS BELLEVUE;111,7;Appartement;4;33192
6448;183;;RTE;DE PESSAC;48,53;Appartement;2;33192
6449;9001;;RES;LE CHAT DE LAURENZANNE;54,57;Appartement;2;33192
6450;21;;CRS;DU GENERAL DE GAULLE;24,89;Appartement;1;33192
6451;1;;RUE;DES CEPAGES;69,25;Appartement;3;33192
6452;9001;;RES;GAZAILLAN;79,61;Appartement;4;33192
6453;20;;RTE;DE LEOGNAN;42,93;Appartement;2;33192
6454;183;;RTE;DE PESSAC;48,29;Appartement;2;33192
6455;9001;;RES;GAZAILLAN;105,82;Appartement;5;33192
6456;18;;RUE;SAINT FRANCOIS XAVIER;43,71;Appartement;2;33192
6457;243;;CRS;DU GENERAL DE GAULLE;22,21;Appartement;2;33192
6458;243;;CRS;DU GENERAL DE GAULLE;31,11;Appartement;1;33192
6459;13;;CRS;DU GENERAL DE GAULLE;75,77;Appartement;4;33192
6460;9001;;RES;L HOST;17,08;Appartement;1;33192
6461;9001;;RES;SAINT JACQUES;72,2;Appartement;3;33192
6462;9002;;RES;LES TOURS DE NAUDET;14,39;Appartement;1;33192
6463;9001;;RES;LA LISIERE DE GRADIGNAN;71,02;Appartement;3;33192
6464;17;;RUE;DES AIRELLES;98,47;Maison;5;33192
6465;6;;RUE;DE LA CHENAIE;110,61;Appartement;5;33192
6466;21;;CRS;DU GENERAL DE GAULLE;24,36;Appartement;1;33192
6467;13;;CRS;DU GENERAL DE GAULLE;78,17;Appartement;4;33192
6468;9002;;RES;LES TOURS DE NAUDET;44,84;Appartement;2;33192
6469;20;;ALL;DU HAUT VIGNEAU;82,29;Maison;4;33192
6470;4;;RUE;DU PROFESSEUR VILLEMIN;46,87;Appartement;2;33192
6471;4;;CHE;DE LA LANDETTE;70,71;Maison;3;33192
6472;2;;RUE;DU PROFESSEUR VILLEMIN;43,71;Appartement;2;33192
6473;2;;ALL;VERIGNAC;100,52;Maison;5;33192
6474;179;;RTE;DE CANEJAN;92,78;Maison;4;33192
6475;13;;CRS;DU GENERAL DE GAULLE;76,99;Appartement;4;33192
6476;13;;RUE;DES EGLANTIERS;74;Appartement;3;33545
6477;33;;RUE;DE LA MORANDIERE;70,14;Appartement;3;33200
6478;9;;RUE;MARS;74,24;Maison;4;33200
6479;1;A;RUE;MAURICE RAVEL;64;Appartement;3;33200
6480;9;;RUE;MICHELE PERREIN;50,58;Appartement;3;33352
6481;178;;RUE;STEHELIN CAUD;82,42;Appartement;4;33063
6482;50;B;RUE;DES LIEGES;48,17;Maison;3;33063
6483;56;;RUE;DU VELODROME;82,19;Appartement;5;33063
6484;16;;RUE;JEAN COUDANNE;125,09;Appartement;4;33063
6485;17;;RUE;CLERAMBAULT;137,73;Maison;4;33063
6486;11;;RUE;CAGE VERTE CAUD;77,46;Appartement;4;33063
6487;178;;RUE;STEHELIN CAUD;79,7;Appartement;4;33063
6488;63;;AV;DE VERDUN;78,91;Maison;3;33063
6489;16;;RUE;LAPORTE CAUD;62,18;Appartement;4;33063
6490;90;;RUE;DU VELODROME;83,38;Appartement;4;33063
6491;224;;AV;EYSINES CAUD;58,98;Appartement;3;33063
6492;32;;IMP;SAINT AMAND;134,59;Appartement;4;33063
6493;144;;RUE;DES ORANGERS;61,58;Appartement;3;33063
6494;208;;RUE;DE L ECOLE NORMALE CAUD;21,72;Appartement;1;33063
6495;328;;RUE;PASTEUR;52,79;Appartement;2;33063
6496;9;;RUE;MAGNIFICAT;92,87;Appartement;5;33063
6497;162;;AV;EYSINES CAUD;62;Appartement;3;33063
6498;5;;RUE;VIRGINIA;71,85;Appartement;3;33063
6499;59;;AV;CHARLES DE GAULLE;24,95;Appartement;2;33063
6500;173;;RUE;DE L ECOLE NORMALE CAUD;73,63;Maison;3;33063
6501;36;;RUE;POUJEAU;102,23;Appartement;5;33063
6502;48;B;RUE;GUYNEMER CAUD;64,24;Appartement;3;33063
6503;222;;AV;EYSINES CAUD;84,53;Appartement;5;33063
6504;10;;RUE;ETCHENIQUE;50,75;Appartement;2;33063
6505;208;;RUE;DE L ECOLE NORMALE CAUD;24,97;Appartement;1;33063
6506;74;;AV;CHARLES DE GAULLE;58,11;Appartement;2;33063
6507;54;;RUE;DEPE CAUD;76,44;Appartement;4;33063
6508;313;;AV;D ARES;104,92;Appartement;4;33063
6509;222;;AV;EYSINES CAUD;74,59;Appartement;3;33063
6510;3;;ALL;RONSARD;88,48;Appartement;3;33063
6511;6;B;RTE;DE LA GARONNE;62,55;Appartement;2;33533
6512;9000;;;RESIDENCE VOLUTIS;52,61;Appartement;3;33227
6513;9002;;;LE LAPIN;104,59;Appartement;3;33337
6514;9000;;;RESIDENCE VOLUTIS;31,71;Appartement;2;33227
6515;103;;;LES JARDINS DE LA PALMERAI;63,8;Appartement;3;33227
6516;6;;AV;LEO LAGRANGE;58,93;Appartement;3;33227
6517;6;T;RTE;DE LA GARONNE;44,68;Appartement;2;33533
6518;9000;;;RESIDENCE VOLUTIS;52,59;Appartement;3;33227
6519;12;B;CRS;DU GENERAL LECLERC;70,73;Appartement;3;33227
6520;9000;;;RESIDENCE VOLUTIS;41,29;Appartement;2;33227
6521;5004;;;LES JARDINS DE LA PALMERAI;44,5;Appartement;2;33227
6522;5001;;RUE;DU MOULIN;65,16;Appartement;3;24335
6523;3;B;RUE;DE LA GARE;45,99;Appartement;2;33324
6524;4;;RUE;JEAN JACQUES ROUSSEAU;122,5;Appartement;4;33402
6525;45;;RTE;DE L HIPPODROMME;33,82;Appartement;2;33138
6526;45;;RTE;DE L HIPPODROMME;33,49;Appartement;2;33138
6527;45;;RTE;DE L HIPPODROMME;64,53;Maison;3;33138
6528;18;;RUE;DES FRAISIERS;71,51;Maison;3;33415
6529;15;;RUE;DANIEL FOURNIER;81,44;Maison;4;33366
6530;8;;ALL;BESNARD;75,06;Maison;3;33366
6531;76;;RUE;DE LA DAUGE;28,25;Appartement;1;33366
6532;61;;RUE;DE LA DAUGE;60,58;Appartement;3;33366
6533;18;;RUE;DES FRAISIERS;37;Appartement;2;33415
6534;61;;RUE;DE LA DAUGE;43,22;Appartement;2;33366
6535;55;;RTE;DE BOURG;41,17;Appartement;2;33366
6536;80;;RTE;DE SALIGNAC;42,52;Appartement;2;33366
6537;295;;RTE;DE SAINT ROMAIN;59,51;Appartement;2;33366
6538;55;;RTE;DE BOURG;73,58;Appartement;4;33366
6539;55;;RTE;DE BOURG;40,81;Appartement;2;33366
6540;80;;RTE;DE SALIGNAC;83,27;Maison;4;33366
6541;2;;RUE;GUSTAVE LOUDE;78,4;Appartement;4;33529
6542;20;;RUE;DE L AIGUILLON;16,92;Appartement;1;33529
6543;13;;AV;DES HUTTIERS;60,02;Maison;3;33529
6544;17;;RUE;DU PORT;25,34;Appartement;1;33529
6545;2;;RUE;DES CISTES;80,97;Appartement;4;33529
6546;16;;RUE;CLEMENT RAMOND;58,04;Appartement;4;33529
6547;3;;RUE;VICTOR HUGO;27,45;Appartement;1;33529
6548;3;;RUE;DU MAL JOFFRE;47,56;Appartement;2;33529
6549;;;IMP;DE BISSERIE;34,08;Appartement;2;33529
6550;58;;RUE;GUYNEMER CAZAUX;17,25;Appartement;1;33529
6551;1;;RUE;DES POILUS;42,56;Appartement;2;33529
6552;29;;RUE;MICHEL LABARTHE;72,7;Appartement;4;33529
6553;3;;RUE;DES HELIANTHEMES;42,08;Appartement;2;33529
6554;1270;;AV;GUSTAVE EIFFEL;21,22;Appartement;2;33529
6555;9000;;ALL;MARIE DUFAURE CAZAUX;71,83;Maison;3;33529
6556;3;;RUE;VICTOR HUGO;44,81;Appartement;2;33529
6557;30;;RUE;MICHEL LABARTHE;71,05;Appartement;4;33529
6558;8;;RUE;MANCILLIA;95,74;Appartement;4;33529
6559;18;;ALL;DES GRIVES;66,02;Maison;3;33167
6560;4;;RUE;DES CHENES;55,03;Appartement;2;33167
6561;4;;RUE;PAUL GROS;42,6;Appartement;2;33167
6562;9000;;CHE;DES PLATEAUX;41,95;Appartement;2;33167
6563;7;;RUE;DU GENERAL DE GAULLE;84,52;Appartement;4;33167
6564;3;;RUE;HENRY MATISSE;100,03;Appartement;4;33167
6565;9057;;HAM;DE BOURBON;97,15;Appartement;5;33167
6566;5;;RUE;EDGARD DEGAS;89,09;Appartement;4;33167
6567;2;;PL;DE LA SOUYS;74,32;Appartement;3;33167
6568;1;;AV;DE LA GARONNE;64,8;Appartement;3;33167
